#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
da_create_duchy;Create a new de jure duchy;;;;;;;;;;;;;x;
da_create_duchy_desc;Create a new de jure duchy from the county of [Root.GetBaseName]. It will take the name of [Root.GetBaseName]. If the current de jure duchy which the county of [Root.GetBaseName] belongs to does not exist or is held by yourself, the county of [Root.GetBaseName] will become de jure a part of the new duchy. Additionally, if this should increase your rank from count to duke, all counties you hold will become de jure a part of the new duchy, as long as their original de jure duchies do not exist;;;;;;;;;;;;;x;
da_transfer_county_to_recipient_duchy;Transfer county to recipient duchy;;;;;;;;;;;;;x;
da_transfer_county_to_recipient_duchy_desc;The county of [Root.GetBaseName] will become de jure a part of the currently designated recipient duchy. This will upset the holder of the title it previously de jure belonged to.;;;;;;;;;;;;;x;
da_designate_recipient_title;Designate recipient title;;;;;;;;;;;;;x;
da_designate_recipient_title_desc;Designate the [Root.GetBaseName] as the recipient for any future de jure transfers. Any previously designated title will lose this designation.;;;;;;;;;;;;;x;
da_create_kingdom;Create a new de jure kingdom;;;;;;;;;;;;;x;
da_create_kingdom_desc;Create a new de jure kingdom from the duchy of [Root.GetBaseName]. It will take the name of [Root.GetBaseName]. If the current de jure kingdom which the duchy of [Root.GetBaseName] belongs to does not exist or is held by yourself, the duchy of [Root.GetBaseName] will become de jure a part of the new kingdom. Additionally, if this should increase your rank from duke to king, all duchies you hold or completely control will become de jure a part of the new kingdom, as long as their original de jure kingdoms do not exist;;;;;;;;;;;;;x;
da_transfer_duchy_to_recipient_kingdom;Transfer duchy to recipient kingdom;;;;;;;;;;;;;x;
da_transfer_duchy_to_recipient_kingdom_desc;The duchy of [Root.GetBaseName] will become de jure a part of the currently designated recipient kingdom. This will upset the holder of the title it previously de jure belonged to.;;;;;;;;;;;;;x;
da_create_empire;Create a new de jure empire;;;;;;;;;;;;;x;
da_create_empire_desc;Create a new de jure empire from the kingdom of [Root.GetBaseName]. It will take the name of [Root.GetBaseName]. If the current de jure empire which the kingdom of [Root.GetBaseName] belongs to does not exist or is held by yourself, the kingdom of [Root.GetBaseName] will become de jure a part of the new empire. Additionally, if this should increase your rank from king to emperor, all kingdoms you hold or completely control will become de jure a part of the new empire, as long as their original de jure empires do not exist;;;;;;;;;;;;;x;
da_transfer_kingdom_to_recipient_empire;Transfer kingdom to recipient empire;;;;;;;;;;;;;x;
da_transfer_kingdom_to_recipient_empire_desc;The kingdom of [Root.GetBaseName] will become de jure a part of the currently designated recipient empire. This will upset the holder of the title it previously de jure belonged to.;;;;;;;;;;;;;x;
da_ttip_adult_free_capable_independent;Is an adult and independent, and is not imprisoned nor incapable\n;;;;;;;;;;;;;x;
